Hero_id;Hero_name;Movie;Affiliation
91;Everett K. Ross;Captain America: Civil War;Unnafiliated
91;Everett K. Ross;Black Panther;Unnafiliated
91;Everett K. Ross;Black Panther: Wakanda Forever;Unnafiliated
92;F.R.I.D.A.Y.;Avengers: Age of Ultron;Unnafiliated
92;F.R.I.D.A.Y.;Captain America: Civil War;Unnafiliated
92;F.R.I.D.A.Y.;Spider-Man: Homecoming;Unnafiliated
92;F.R.I.D.A.Y.;Avengers: Infinity War;Unnafiliated
92;F.R.I.D.A.Y.;Avengers: Endgame;Unnafiliated
93;Falcon;Captain America: The Winter Soldier;Avengers
93;Falcon;Captain America: Civil War;Avengers
93;Falcon;Avengers: Infinity War;Avengers
93;Falcon;Avengers: Endgame;Avengers
94;Fandral;Thor;Warriors Three
94;Fandral;Thor: The Dark World;Warriors Three
94;Fandral;Thor: Ragnarok;Warriors Three
94;Fandral;Thor: Love and Thunder;Warriors Three
95;Foster;Spider-Man: Homecoming;Unnafiliated
95;Foster;Spider-Man: No Way Home;Unnafiliated
96;Frigga;Thor;Unnafiliated
96;Frigga;Thor: The Dark World;Unnafiliated
96;Frigga;Avengers: Endgame;Unnafiliated
96;Frigga;Thor: Love and Thunder;Unnafiliated
97;Gabe Jones;Captain America: The First Avenger;Howling Commandos
98;Gale;Ant-Man;Unnafiliated
99;Gamora;Guardians of the Galaxy;Children of Thanos
99;Gamora;Guardians of the Galaxy Vol. 2;Children of Thanos
99;Gamora;Avengers: Infinity War;Children of Thanos
99;Gamora;Avengers: Endgame;Children of Thanos
100;Garthan Saal;Guardians of the Galaxy;Unnafiliated
101;Gef the Ravager;Guardians of the Galaxy Vol. 2;Unnafiliated
102;Georges Batroc;Captain America: The Winter Soldier;Unnafiliated
103;Georgi Luchkov;Marvel’s The Avengers;Unnafiliated
104;Ghost;Ant-Man and the Wasp;Unnafiliated
105;Gideon Malick;Marvel’s The Avengers;Unnafiliated
106;Gilgamesh;Eternals;Unnafiliated
107;Gilmore Hodge;Captain America: The First Avenger;Unnafiliated
108;Gorr the God Butcher;Thor: Love and Thunder;Unnafiliated
109;Graham;Black Panther: Wakanda Forever;Unnafiliated
110;Grandmaster;Thor: Ragnarok;Unnafiliated
111;Grandpa Quill;Guardians of the Galaxy;Unnafiliated
111;Grandpa Quill;Guardians of the Galaxy Vol. 2;Unnafiliated
112;Green Goblin;Spider-Man: No Way Home;Unnafiliated
113;Griot;Black Panther;Unnafiliated
113;Griot;Black Panther: Wakanda Forever;Unnafiliated
114;Groot;Guardians of the Galaxy;Guardians of the Galaxy
114;Groot;Guardians of the Galaxy Vol. 2;Guardians of the Galaxy
114;Groot;Avengers: Infinity War;Guardians of the Galaxy
114;Groot;Avengers: Endgame;Guardians of the Galaxy
114;Groot;Thor: Love and Thunder;Guardians of the Galaxy
115;Guang Bo;Shang-Chi and the Legend of the Ten Rings;Unnafiliated
116;Half-Nut;Guardians of the Galaxy Vol. 2;Unnafiliated
117;Hamir;Doctor Strange;Unnafiliated
117;Hamir;Doctor Strange in the Multiverse of Madness;Unnafiliated
118;Hank Pym;Ant-Man and the Wasp;Unnafiliated
118;Hank Pym;Avengers: Endgame;Unnafiliated
118;Hank Pym;Ant-Man and the Wasp: Quantumania;Unnafiliated
119;Harley Keener;Iron Man 3;Unnafiliated
119;Harley Keener;Avengers: Endgame;Unnafiliated
120;"Harold ""Happy"" Hogan";Iron Man;Unnafiliated
120;"Harold ""Happy"" Hogan";Iron Man 2;Unnafiliated
120;"Harold ""Happy"" Hogan";Iron Man 3;Unnafiliated
120;"Harold ""Happy"" Hogan";Spider-Man: Homecoming;Unnafiliated
120;"Harold ""Happy"" Hogan";Avengers: Endgame;Unnafiliated
120;"Harold ""Happy"" Hogan";Spider-Man: Far From Home;Unnafiliated
120;"Harold ""Happy"" Hogan";Spider-Man: No Way Home;Unnafiliated
121;Hawkeye;Thor;Avengers
121;Hawkeye;Avengers: Age of Ultron;Avengers
121;Hawkeye;Captain America: Civil War;Avengers
121;Hawkeye;Avengers: Endgame;Avengers
121;Hawkeye;Black Widow;Avengers
122;Hawley;Marvel’s The Avengers;Unnafiliated
122;Hawley;Captain America: The Winter Soldier;Unnafiliated
123;Heimdall;Thor;Unnafiliated
123;Heimdall;Thor: The Dark World;Unnafiliated
123;Heimdall;Avengers: Age of Ultron;Unnafiliated
123;Heimdall;Thor: Ragnarok;Unnafiliated
123;Heimdall;Avengers: Infinity War;Unnafiliated
123;Heimdall;Thor: Love and Thunder;Unnafiliated
124;Heinz Kruger;Captain America: The First Avenger;Unnafiliated
125;Hela;Thor: Ragnarok;Unnafiliated
126;Helen Cho;Avengers: Age of Ultron;Unnafiliated
127;Helmut Zemo;Captain America: Civil War;Unnafiliated
128;Hercules;Thor: Love and Thunder;Unnafiliated
129;Ho Yinsen;Iron Man;Unnafiliated
129;Ho Yinsen;Iron Man 3;Unnafiliated
130;Hogun;Thor;Warriors Three
130;Hogun;Thor: The Dark World;Warriors Three
130;Hogun;Thor: Ragnarok;Warriors Three
130;Hogun;Thor: Love and Thunder;Warriors Three
131;Hope van Dyne;Ant-Man;Unnafiliated
132;Howard Stark;Iron Man;Unnafiliated
132;Howard Stark;Iron Man 2;Unnafiliated
132;Howard Stark;Captain America: The First Avenger;Unnafiliated
132;Howard Stark;Ant-Man;Unnafiliated
132;Howard Stark;Captain America: Civil War;Unnafiliated
132;Howard Stark;Avengers: Endgame;Unnafiliated
133;Howard the Duck;Guardians of the Galaxy;Unnafiliated
133;Howard the Duck;Guardians of the Galaxy Vol. 2;Unnafiliated
134;Hulk;The Incredible Hulk;Avengers
134;Hulk;Iron Man 3;Avengers
134;Hulk;Avengers: Age of Ultron;Avengers
134;Hulk;Thor: Ragnarok;Avengers
134;Hulk;Avengers: Infinity War;Avengers
134;Hulk;Captain Marvel;Avengers
134;Hulk;Avengers: Endgame;Avengers
134;Hulk;Shang-Chi and the Legend of the Ten Rings;Avengers
135;Ian Boothby;Thor: The Dark World;Unnafiliated
136;Ikaris;Eternals;Unnafiliated
137;Immortus;Ant-Man and the Wasp: Quantumania;Unnafiliated
138;Ingrid;Black Widow;Unnafiliated
139;Iron Man;Iron Man;Avengers
139;Iron Man;The Incredible Hulk;Avengers
139;Iron Man;Iron Man 2;Avengers
139;Iron Man;Marvel’s The Avengers;Avengers
139;Iron Man;Iron Man 3;Avengers
139;Iron Man;Avengers: Age of Ultron;Avengers
139;Iron Man;Captain America: Civil War;Avengers
139;Iron Man;Spider-Man: Homecoming;Avengers
139;Iron Man;Avengers: Infinity War;Avengers
139;Iron Man;Avengers: Endgame;Avengers
139;Iron Man;Spider-Man: Far From Home;Avengers
140;Ivan Vanko;Iron Man 2;Unnafiliated
141;J. Jonah Jameson;Spider-Man: Far From Home;Unnafiliated
141;J. Jonah Jameson;Spider-Man: No Way Home;Unnafiliated
142;J.A.R.V.I.S.;Iron Man;Unnafiliated
142;J.A.R.V.I.S.;Iron Man 2;Unnafiliated
142;J.A.R.V.I.S.;Marvel’s The Avengers;Unnafiliated
142;J.A.R.V.I.S.;Iron Man 3;Unnafiliated
142;J.A.R.V.I.S.;Avengers: Age of Ultron;Unnafiliated
143;Jack Rollins;Captain America: The Winter Soldier;Unnafiliated
143;Jack Rollins;Avengers: Endgame;Unnafiliated
144;Jack Taggert;Iron Man 3;Unnafiliated
145;Jacques Dernier;Captain America: The First Avenger;Howling Commandos
146;Jademurai;Thor: Love and Thunder;Unnafiliated
147;James Montgomery Falsworth;Captain America: The First Avenger;Howling Commandos
148;Janet van Dyne;Ant-Man and the Wasp;Unnafiliated
148;Janet van Dyne;Avengers: Endgame;Unnafiliated
148;Janet van Dyne;Ant-Man and the Wasp: Quantumania;Unnafiliated
149;Jason Ionello;Spider-Man: Homecoming;Unnafiliated
149;Jason Ionello;Spider-Man: Far From Home;Unnafiliated
150;Jasper Sitwell;Thor;Unnafiliated
150;Jasper Sitwell;Captain America: The Winter Soldier;Unnafiliated
150;Jasper Sitwell;Avengers: Endgame;Unnafiliated
151;Jentorra;Ant-Man and the Wasp: Quantumania;Unnafiliated
152;Jim Morita;Captain America: The First Avenger;Howling Commandos
153;Jim Paxton;Ant-Man;Unnafiliated
153;Jim Paxton;Ant-Man and the Wasp;Unnafiliated
154;Jimmy Woo;Ant-Man and the Wasp;Unnafiliated
154;Jimmy Woo;Ant-Man and the Wasp: Quantumania;Unnafiliated
155;Jon Jon;Shang-Chi and the Legend of the Ten Rings;Unnafiliated
156;Jonathan Pangborn;Doctor Strange;Unnafiliated
157;Julius Dell;Spider-Man: Far From Home;Unnafiliated
157;Julius Dell;Spider-Man: No Way Home;Unnafiliated
158;Justin Hammer;Iron Man 2;Unnafiliated
159;Kaecilius;Doctor Strange;Unnafiliated
160;Kang the Conqueror;Ant-Man and the Wasp: Quantumania;Unnafiliated
161;Karen;Spider-Man: Homecoming;Unnafiliated
162;Karl Mordo;Doctor Strange;Unnafiliated
162;Karl Mordo;Doctor Strange in the Multiverse of Madness;Unnafiliated
163;Karun Patel;Eternals;Unnafiliated
164;Katy;Shang-Chi and the Legend of the Ten Rings;Unnafiliated
165;Killmonger;Black Panther;Guardians of the Multiverse
165;Killmonger;Black Panther: Wakanda Forever;Guardians of the Multiverse
166;Kingo;Eternals;Unnafiliated
167;Korath;Guardians of the Galaxy;Starforce
167;Korath;Captain Marvel;Starforce
168;Korg;Thor: Ragnarok;Revengers
168;Korg;Avengers: Endgame;Revengers
168;Korg;Thor: Love and Thunder;Revengers
169;Kraglin Obfonteri;Guardians of the Galaxy;Unnafiliated
169;Kraglin Obfonteri;Guardians of the Galaxy Vol. 2;Unnafiliated
169;Kraglin Obfonteri;Avengers: Endgame;Unnafiliated
169;Kraglin Obfonteri;Thor: Love and Thunder;Unnafiliated
170;Kro;Eternals;Unnafiliated
171;Krylar;Ant-Man and the Wasp: Quantumania;Unnafiliated
172;Kurse;Thor: The Dark World;Unnafiliated
173;Kurt;Ant-Man;Unnafiliated
173;Kurt;Ant-Man and the Wasp;Unnafiliated
174;Laufey;Thor;Unnafiliated
175;Laura Barton;Avengers: Age of Ultron;Unnafiliated
175;Laura Barton;Avengers: Endgame;Unnafiliated
176;Leonard Samson;The Incredible Hulk;Unnafiliated
177;Lerato;Black Widow;Unnafiliated
178;Lila Barton;Avengers: Age of Ultron;Unnafiliated
178;Lila Barton;Avengers: Endgame;Unnafiliated
179;Linda;Black Panther;Unnafiliated
180;List;Captain America: The Winter Soldier;Unnafiliated
181;Liz;Spider-Man: Homecoming;Unnafiliated
182;Lizard;Spider-Man: No Way Home;Unnafiliated
183;Loki;Thor;Revengers
183;Loki;Thor: The Dark World;Revengers
183;Loki;Thor: Ragnarok;Revengers
183;Loki;Avengers: Infinity War;Revengers
183;Loki;Avengers: Endgame;Revengers
183;Loki;Thor: Love and Thunder;Revengers
183;Loki;Ant-Man and the Wasp: Quantumania;Revengers
184;Love;Thor: Love and Thunder;Unnafiliated
185;Lucian Aster;Doctor Strange;Unnafiliated
186;Luis;Ant-Man;Unnafiliated
186;Luis;Ant-Man and the Wasp;Unnafiliated
187;M’Baku;Black Panther;Unnafiliated
187;M’Baku;Avengers: Infinity War;Unnafiliated
187;M’Baku;Avengers: Endgame;Unnafiliated
187;M’Baku;Black Panther: Wakanda Forever;Unnafiliated
188;Mac Gargan;Spider-Man: Homecoming;Unnafiliated
189;Maggie;Ant-Man;Unnafiliated
189;Maggie;Ant-Man and the Wasp;Unnafiliated
190;Mainframe;Guardians of the Galaxy Vol. 2;Unnafiliated
191;Makkari;Eternals;Unnafiliated
192;Malekith;Thor: The Dark World;Unnafiliated
193;Mantis;Guardians of the Galaxy Vol. 2;Guardians of the Galaxy
193;Mantis;Avengers: Infinity War;Guardians of the Galaxy
193;Mantis;Avengers: Endgame;Guardians of the Galaxy
193;Mantis;Thor: Love and Thunder;Guardians of the Galaxy
194;Mar-Vell;Captain Marvel;Unnafiliated
195;Maria Hill;Marvel’s The Avengers;Unnafiliated
195;Maria Hill;Captain America: The Winter Soldier;Unnafiliated
195;Maria Hill;Avengers: Age of Ultron;Unnafiliated
195;Maria Hill;Avengers: Infinity War;Unnafiliated
195;Maria Hill;Avengers: Endgame;Unnafiliated
195;Maria Hill;Spider-Man: Far From Home;Unnafiliated
196;Maria Rambeau;Captain Marvel;Unnafiliated
197;Maria Stark;Captain America: Civil War;Unnafiliated
198;Martinex;Guardians of the Galaxy Vol. 2;Unnafiliated
199;Matthew Ellis;Iron Man 3;Unnafiliated
200;May Parker;Captain America: Civil War;Unnafiliated
200;May Parker;Spider-Man: Homecoming;Unnafiliated
200;May Parker;Avengers: Endgame;Unnafiliated
200;May Parker;Spider-Man: Far From Home;Unnafiliated
200;May Parker;Spider-Man: No Way Home;Unnafiliated
201;Maya Hansen;Iron Man 3;A.I.M.
